Timestamp,Year,Full Time Status of Past School Years,Avg Study Time (During Pandemic),Avg Study Time (Pre Pandemic),Avg Freq of Skipping Online Lec (Weekly),Avg Freq of Skipping In-Person Lec (Weekly),Lec Delivery Mode Preference,Study Environment Preference,Avg Freq of Participating OH (During Pandemic),Avg Freq of Participating OH (After Pandemic),Better Lec Quality Period,Comprehension Lv. of Materials of Online Lecture,Distraction Lv. of Online Lec Compared to In-Person Lec,cGPA during the Pandemic (2019 Winter - 2021 Winter),cGPA after the Pandemic (2021 Spring - 2022 Summer)
2022/11/02 5:59:37 PM AST,Year 3,2022;,< 3 Hours,< 3 Hours,2,1,Online,Home,0,0,Same,4,3,2.6 - 2.9,2.6 - 2.9
2022/11/02 5:59:37 PM AST,Year 5 and above,2019 and before;,< 3 Hours,< 3 Hours,2,2,Online,Home,0,0,Same,3,4,2.6 - 2.9,2.6 - 2.9
2022/11/02 5:59:51 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,3 - 4 Hours,1,0,Online,School,1,3,Pre-Pandemic,2,5,2.6 - 2.9,3.6 - 4.0
2022/11/02 6:00:11 PM AST,Year 3,2020;,3 - 4 Hours,< 3 Hours,1,2,Online,Home,0,0,Same,3,5,2.6 - 2.9,2.0 - 2.5
2022/11/02 6:00:17 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,3 - 4 Hours,2,0,In-person,School,0,0,Pre-Pandemic,3,4,2.0 - 2.5,2.6 - 2.9
2022/11/02 6:00:19 PM AST,Year 4,2019 and before;,< 3 Hours,< 3 Hours,2,0,Online,Home,0,0,Same,5,5,2.6 - 2.9,2.6 - 2.9
2022/11/02 6:00:30 PM AST,Year 3,2019 and before;,3 - 4 Hours,< 3 Hours,0,2,In-person,School,0,4,Pre-Pandemic,4,4,2.0 - 2.5,2.0 - 2.5
2022/11/02 6:02:10 PM AST,Year 3,2020;,3 - 4 Hours,< 3 Hours,4,4,Online,Home,0,0,Pre-Pandemic,3,4,3.0 - 3.5,3.0 - 3.5
2022/11/02 6:02:43 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,3 - 4 Hours,2,3,Online,Home,0,2,Pre-Pandemic,3,4,3.6 - 4.0,3.6 - 4.0
2022/11/02 6:03:01 PM AST,Year 3,2020;,4 - 5 Hours,5 - 6 Hours,4,1,In-person,School,5,2,Pre-Pandemic,3,5,2.0 - 2.5,2.6 - 2.9
2022/11/02 6:03:34 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,3 - 4 Hours,3,3,In-person,School,0,0,Pre-Pandemic,3,3,3.0 - 3.5,2.6 - 2.9
2022/11/02 6:04:31 PM AST,Year 5 and above,2019 and before;2020;2021;2022;,< 3 Hours,5 - 6 Hours,8,8,In-person,School,0,1,Pre-Pandemic,1,5,2.6 - 2.9,1.6 - 1.9
2022/11/02 6:08:50 PM AST,Year 4,2019 and before;,3 - 4 Hours,< 3 Hours,10,8,In-person,Home,0,0,Pandemic,4,4,2.0 - 2.5,2.0 - 2.5
2022/11/03 5:03:48 PM AST,Year 4,2019 and before;,4 - 5 Hours,4 - 5 Hours,2,1,In-person,Home,1,0,Same,4,4,3.0 - 3.5,3.0 - 3.5
2022/11/03 5:03:58 PM AST,Year 4,2019 and before;2020;2021;2022;,4 - 5 Hours,4 - 5 Hours,1,0,In-person,School,2,4,Pre-Pandemic,1,5,2.0 - 2.5,3.0 - 3.5
2022/11/03 5:08:24 PM AST,Year 4,2020;2021;2022;,< 3 Hours,< 3 Hours,0,0,In-person,School,0,0,Same,5,3,2.6 - 2.9,2.0 - 2.5
2022/11/03 5:10:50 PM AST,Year 4,2021;,4 - 5 Hours,5 - 6 Hours,0,2,In-person,School,0,2,Pandemic,2,3,1.0 - 1.5,2.0 - 2.5
2022/11/03 5:12:06 PM AST,Year 3,2020;,4 - 5 Hours,4 - 5 Hours,1,1,Online,Home,0,0,Pandemic,2,3,2.6 - 2.9,3.0 - 3.5
2022/11/03 5:21:59 PM AST,Year 4,2019 and before;2020;2021;2022;,4 - 5 Hours,4 - 5 Hours,2,1,Online,Home,1,1,Pre-Pandemic,4,5,2.0 - 2.5,2.6 - 2.9
2022/11/03 5:37:34 PM AST,Year 3,2020;2021;2022;,3 - 4 Hours,4 - 5 Hours,1,1,In-person,School,1,1,Pandemic,3,1,3.0 - 3.5,3.0 - 3.5
2022/11/03 5:39:26 PM AST,Year 3,2020;2021;2022;,> 6 Hours,> 6 Hours,0.1,0.5,In-person,School,5,2,Pandemic,4,2,3.6 - 4.0,3.6 - 4.0
2022/11/03 5:46:06 PM AST,Year 3,2020;,< 3 Hours,> 6 Hours,2,0,In-person,School,1,0,Pre-Pandemic,2,2,3.0 - 3.5,3.0 - 3.5
2022/11/03 5:57:03 PM AST,Year 4,2022;,3 - 4 Hours,4 - 5 Hours,0,0,Online,School,1,1,Pandemic,3,3,3.6 - 4.0,3.0 - 3.5
2022/11/03 6:07:19 PM AST,Year 3,2020;2021;2022;,> 6 Hours,> 6 Hours,5,0,Online,Home,0,5,Same,5,1,3.6 - 4.0,0.0 - 0.5
2022/11/03 6:07:31 PM AST,Year 3,2019 and before;2020;2021;2022;,< 3 Hours,5 - 6 Hours,1,1,In-person,Home,0,1,Pre-Pandemic,4,4,3.6 - 4.0,3.0 - 3.5
2022/11/03 6:36:21 PM AST,Year 3,2020;,3 - 4 Hours,3 - 4 Hours,1,0,In-person,School,0,0,Same,4,4,3.6 - 4.0,2.0 - 2.5
